               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.10839,            0.026972,            0.044253,          5.4051e-05,            0.018727,          4.0878e-05,          7.5105e-06,            0.091679,            0.013009,            0.033637,            0.002575,            0.002575,            0.002575
                  77,             0.10813,             0.02653,            0.045072,          4.0727e-05,            0.011236,           6.794e-05,          8.6431e-06,            0.091427,            0.012907,            0.033752,            0.002476,            0.002476,            0.002476
                  78,             0.10719,            0.026807,            0.044233,          4.6024e-05,            0.016854,          3.3627e-05,          6.2192e-06,            0.091209,            0.013063,            0.033892,            0.002377,            0.002377,            0.002377
                  79,             0.11034,            0.026842,            0.045572,          5.3906e-05,            0.016854,          3.4998e-05,          6.7211e-06,            0.091016,            0.012961,            0.033744,            0.002278,            0.002278,            0.002278
                  80,              0.1089,            0.026303,            0.045422,          4.1629e-05,            0.013109,          4.3868e-05,          9.2512e-06,            0.090959,            0.012941,            0.033765,            0.002179,            0.002179,            0.002179
                  81,             0.10844,            0.026718,            0.044684,          6.0966e-05,            0.016854,          4.0838e-05,           8.702e-06,            0.090764,            0.012944,            0.033664,             0.00208,             0.00208,             0.00208
                  82,             0.10694,            0.027022,            0.044415,           7.837e-05,            0.022472,          5.6034e-05,          1.1926e-05,            0.090957,            0.012949,             0.03341,            0.001981,            0.001981,            0.001981
                  83,             0.10902,            0.026382,             0.04552,          6.9787e-05,            0.016854,           4.589e-05,          8.6067e-06,            0.090604,            0.013009,             0.03326,            0.001882,            0.001882,            0.001882
                  84,             0.10827,            0.026794,            0.044879,          4.9832e-05,            0.016854,           3.707e-05,          5.8002e-06,              0.0907,            0.012866,            0.033533,            0.001783,            0.001783,            0.001783
                  85,             0.10818,            0.026828,            0.044723,          6.4524e-05,            0.016854,          3.9403e-05,          7.7295e-06,            0.090905,            0.012936,            0.033334,            0.001684,            0.001684,            0.001684
                  86,             0.11017,            0.026598,            0.045597,           6.298e-05,            0.020599,          4.0403e-05,          6.6474e-06,            0.090718,            0.012972,            0.033431,            0.001585,            0.001585,            0.001585
                  87,             0.10803,            0.026978,            0.044644,          5.1686e-05,            0.014981,          3.1431e-05,          5.5419e-06,            0.090941,            0.012951,            0.033292,            0.001486,            0.001486,            0.001486
                  88,             0.10891,             0.02676,            0.045125,          5.1808e-05,            0.016854,          3.3796e-05,          7.5167e-06,            0.090811,            0.012988,            0.033227,            0.001387,            0.001387,            0.001387
                  89,                0.11,            0.026487,            0.045383,          5.1444e-05,            0.016854,          5.2548e-05,          1.0633e-05,            0.090813,            0.012938,            0.033357,            0.001288,            0.001288,            0.001288
                  90,             0.10679,              0.0263,            0.044109,           0.0067136,            0.018278,           0.0034868,           0.0010387,             0.09097,            0.012948,             0.03341,            0.001189,            0.001189,            0.001189
                  91,             0.10956,            0.026811,            0.045328,            0.016719,            0.020151,           0.0084853,           0.0016968,            0.091127,            0.013066,            0.033401,             0.00109,             0.00109,             0.00109
                  92,             0.10891,            0.026842,            0.044865,            0.016718,            0.022024,           0.0084452,           0.0025293,            0.091098,            0.013083,            0.033476,            0.000991,            0.000991,            0.000991
                  93,             0.10861,             0.02676,             0.04466,            0.016728,            0.022024,           0.0084486,           0.0025295,            0.091278,            0.013005,            0.033415,            0.000892,            0.000892,            0.000892
                  94,             0.10893,            0.027028,            0.044725,            0.016723,            0.020151,            0.008443,            0.002529,            0.091193,            0.012897,             0.03343,            0.000793,            0.000793,            0.000793
                  95,              0.1094,             0.02655,            0.045235,            0.017233,            0.020443,            0.008721,           0.0025578,             0.09121,            0.012934,            0.033386,            0.000694,            0.000694,            0.000694
                  96,             0.10778,            0.026844,             0.04477,           0.0069803,            0.020443,           0.0036359,           0.0010541,            0.091245,            0.012946,            0.033427,            0.000595,            0.000595,            0.000595
                  97,             0.10862,            0.026583,            0.045669,           0.0069817,            0.022316,           0.0036256,           0.0010565,            0.091151,            0.012887,            0.033333,            0.000496,            0.000496,            0.000496
                  98,             0.10908,            0.026759,              0.0451,           0.0069769,            0.020443,           0.0036402,           0.0010299,            0.090977,            0.012908,            0.033347,            0.000397,            0.000397,            0.000397
                  99,             0.10963,            0.026688,            0.045297,            0.017095,            0.020443,           0.0086763,           0.0025558,            0.091048,            0.012911,            0.033341,            0.000298,            0.000298,            0.000298
